Usuarie - nick,usuarie -edad,usuarie -genero,Tiempo,Partida,nivel,Cantidad total de palabras a adivinar,Nombre de evento,Estado ,Palabra,dia y hora
pepe,58,pe,3.29710054397583,1,1,8,Inicio_partida,ok,todavia no hay,"(1, 14)"
negro,20,nose,1.129453182220459,1,1,8,Inicio_partida,ok,todavia no hay,"(4, 17)"
NEGRO,34,M,13.386457443237305,1,1,4,Inicio_partida,ok,todavia no hay,"(4, 15)"pepe,58,pe,7.5017149448394775,1,1,8,abandonada,ok,todavia no hay,"(4, 18)"
NEGRO,34,M,2.426161050796509,1,1,4,abandonada,ok,todavia no hay,"(4, 18)"
NEGRO,34,M,9.852317571640015,1,1,4,cancelada,ok,todavia no hay,"(4, 18)"
NEGRO,34,M,32.515254974365234,1,1,4,abandonada,ok,todavia no hay,"(4, 18)"
NEGRO,34,M,36.95903038978577,1,1,4,abandonada,ok,todavia no hay,"(4, 18)"
NEGRO,34,M,48.077136754989624,1,1,4,abandonada,ok,todavia no hay,"(4, 18)"
NEGRO,34,M,29.230725049972534,1,3,8,abandonada,ok,todavia no hay,"(4, 18)"
NEGRO,34,M,40.56059145927429,1,1,4,abandonada,ok,todavia no hay,"(4, 19)"
pepe,58,pe,20.982531547546387,1,1,8,abandonada,ok,todavia no hay,"(4, 19)"
NEGRO,34,M,2.351896047592163,1,1,4,abandonada,ok,todavia no hay,"(4, 19)"
NEGRO,34,M,7.586967468261719,1,1,4,cancelada,ok,todavia no hay,"(4, 19)"
NEGRO,34,M,19.926958322525024,1,1,4,abandonada,ok,todavia no hay,"(4, 19)"
pepe,58,pe,17.649418830871582,1,1,8,cancelada,ok,todavia no hay,"(4, 19)"
NEGRO,34,M,19.54391837120056,1,1,4,cancelada,ok,todavia no hay,"(4, 19)"
NEGRO,34,M,15.41683554649353,1,1,4,cancelada,ok,todavia no hay,"(4, 20)"
NEGRO,34,M,15.628660202026367,1,1,4,cancelada,ok,todavia no hay,"(4, 20)"
pepe,58,pe,71.69684267044067,1,1,8,abandonada,ok,todavia no hay,"(4, 20)"
NEGRO,34,M,22.319469213485718,1,1,4,cancelada,ok,todavia no hay,"(4, 20)"
NEGRO,34,M,29.66495418548584,1,1,4,cancelada,ok,todavia no hay,"(4, 20)"
pepe,58,pe,13.092589378356934,1,1,8,cancelada,ok,todavia no hay,"(4, 20)"
NEGRO,34,M,32.78711295127869,1,1,4,cancelada,ok,todavia no hay,"(4, 20)"
NEGRO,34,M,5.759776830673218,1,1,4,cancelada,ok,todavia no hay,"(4, 20)"
NEGRO,34,M,33.806318044662476,1,1,4,cancelada,ok,todavia no hay,"(4, 20)"
NEGRO,34,M,133.80462980270386,1,1,4,abandonada,ok,todavia no hay,"(4, 20)"
